Time,torget_pm10_nilu,torget_pm10_iot,torget_opctemp_iot,torget_opchum_iot
2021-08-27 21:00:00,7.8,2.54590452852703,21.9047619047619,43.1904761904762
2021-08-27 22:00:00,8.8,4.88066384905861,20.5238095238095,44.8571428571429
2021-08-27 23:00:00,15,3.12878884077072,19.3,46.05
2021-08-28 00:00:00,19.2,1.94724188248316,19,46.2380952380952
2021-08-28 01:00:00,13.9,2.07910274891626,18.047619047619,46.6666666666667
2021-08-28 02:00:00,8,1.78972310111636,17.9047619047619,47.4285714285714
2021-08-28 03:00:00,7,1.55372641384602,17,48
2021-08-28 04:00:00,6.7,1.80251389458066,16.6190476190476,48.3809523809524
2021-08-28 05:00:00,5.5,1.96879929020291,16,49.6190476190476
2021-08-28 06:00:00,4.6,1.20327777805783,17.4761904761905,47.3809523809524
2021-08-28 07:00:00,4.5,1.23461732410249,21.9047619047619,38.5714285714286
2021-08-28 08:00:00,4.4,1.29459126591682,24.25,35.15
2021-08-28 09:00:00,5,1.19352326790492,28.1904761904762,29.3333333333333
2021-08-28 10:00:00,5.7,1.36601071982157,24.9047619047619,32.6190476190476
2021-08-28 11:00:00,6.2,1.56038229806083,21.2857142857143,39.9047619047619
2021-08-28 12:00:00,5.9,1.4446048168909,22,40.4761904761905
2021-08-28 13:00:00,5.5,1.39150948226452,22.2,39.65
2021-08-28 14:00:00,5.6,0.882973907958893,23.1904761904762,35.2380952380952
2021-08-28 15:00:00,5.5,0.970982499065853,24,33.0952380952381
2021-08-28 16:00:00,5.5,0.864288412389301,24.952380952381,31.047619047619
2021-08-28 17:00:00,5,0.99796300381422,25.5,31.55
2021-08-28 18:00:00,4.5,1.35548355040096,27.6666666666667,28.6666666666667
2021-08-28 19:00:00,5.8,1.60778820798511,24.6666666666667,34.047619047619
2021-08-28 20:00:00,8.3,2.2810465892156,22.7619047619048,36.7142857142857
2021-08-28 21:00:00,8.2,3.87444723844528,21.45,40.75
2021-08-28 22:00:00,10.4,3.84697589420137,20.3333333333333,44.7142857142857
2021-08-28 23:00:00,15.9,2.49615816275279,19.9047619047619,45.2857142857143
2021-08-29 00:00:00,15.7,2.20013078621456,19,46.0952380952381
2021-08-29 01:00:00,12.6,2.28088284730911,18.6,47.15
2021-08-29 02:00:00,11.1,2.63182632696061,18,48.0952380952381
2021-08-29 03:00:00,10,2.33579980759394,17.4761904761905,49
2021-08-29 04:00:00,8.7,2.2845938205719,17,49.7619047619048
2021-08-29 05:00:00,7.2,1.64266508817673,16.3809523809524,50.1428571428571
2021-08-29 06:00:00,5.8,1.45995889902115,17.8,48.25
2021-08-29 07:00:00,4.9,1.4219584663709,22.2380952380952,39.4761904761905
2021-08-29 08:00:00,4.6,1.45585629485902,24.3333333333333,37.0952380952381
2021-08-29 09:00:00,5.1,2.83218889009385,27.7142857142857,31.6190476190476
2021-08-29 10:00:00,8.1,1.78326865888777,26.8095238095238,32.8571428571429
2021-08-29 11:00:00,11.7,1.66878174245358,22.45,39.7
2021-08-29 12:00:00,10,2.07957616022655,23,41
2021-08-29 13:00:00,8,1.3021727062407,24.047619047619,37.4761904761905
2021-08-29 14:00:00,7.6,0.979036922965731,25.8095238095238,33.7142857142857
2021-08-29 15:00:00,5.8,0.894301426410675,26.55,32.45
2021-08-29 16:00:00,4.3,0.90331116886366,26.8571428571429,31.5238095238095
2021-08-29 17:00:00,3.7,1.09781179399717,26,31.6190476190476
2021-08-29 18:00:00,4,1.15763967661631,26.4761904761905,33.5714285714286
2021-08-29 19:00:00,4.3,1.42705702781677,24.15,40
2021-08-29 20:00:00,5.4,1.2362967133522,22.2857142857143,43.8095238095238
2021-08-29 21:00:00,6.5,1.35896598157429,21,46
2021-08-29 22:00:00,5.6,1.75944136154084,20.047619047619,48.1904761904762
2021-08-29 23:00:00,4.8,1.20894357420149,20.8095238095238,47.2857142857143
2021-08-30 00:00:00,4.6,1.30343432128429,21,47
2021-08-30 01:00:00,3.8,1.36473156724657,21,47
2021-08-30 02:00:00,4,1.23002730097089,21,46.6190476190476
2021-08-30 03:00:00,4.2,1.82595971368608,21.8095238095238,46
2021-08-30 04:00:00,3.8,1.88952066784813,21.952380952381,45.9047619047619
2021-08-30 05:00:00,4.2,1.55454304218292,21.4,44.85
2021-08-30 06:00:00,4.6,1.69282486892882,21.2380952380952,45.6666666666667
2021-08-30 07:00:00,4.8,1.92930108308792,22,44.4761904761905
2021-08-30 08:00:00,5.3,1.9292412627311,22,44.0952380952381
2021-08-30 09:00:00,5.5,1.37575829178095,22.1,43.25
2021-08-30 10:00:00,4.7,1.19837787747383,23,41.7619047619048
2021-08-30 11:00:00,4.7,0.89471256449109,23.3809523809524,39.2380952380952
2021-08-30 12:00:00,4.7,0.581358324913751,25.2857142857143,34.8095238095238
2021-08-30 13:00:00,4,0.516909319907427,25,33.3
2021-08-30 14:00:00,3,0.670921064558483,25.952380952381,32.4761904761905
2021-08-30 15:00:00,2.7,1.0503661320323,25.8571428571429,32.7142857142857
2021-08-30 16:00:00,3.2,0.798499193929491,24.7619047619048,33.4285714285714
2021-08-30 17:00:00,3.8,1.16034612059593,24,34.05
2021-08-30 18:00:00,4.2,1.14705393002147,23.7142857142857,35.5714285714286
2021-08-30 19:00:00,4.4,1.18029291573025,23,37.2857142857143
2021-08-30 20:00:00,4.4,1.43952492021379,22.4761904761905,37.7619047619048
2021-08-30 21:00:00,4.5,1.62210830620357,22,38.7142857142857
2021-08-30 22:00:00,5.1,1.31211503772509,22,37.0952380952381
2021-08-30 23:00:00,5.5,1.20403395593166,21,38.15
