"Time","SDS011 PM2.5"
2021-12-28 09:00:00,4.64
2021-12-28 10:00:00,8.17
2021-12-28 11:00:00,9.83
2021-12-28 12:00:00,11.3
2021-12-28 13:00:00,14.1
2021-12-28 14:00:00,12.4
2021-12-28 15:00:00,11.2
2021-12-28 16:00:00,12.0
2021-12-28 17:00:00,14.4
2021-12-28 18:00:00,15.3
2021-12-28 19:00:00,17.1
2021-12-28 20:00:00,16.3
2021-12-28 21:00:00,13.9
2021-12-28 22:00:00,13.1
2021-12-28 23:00:00,13.0
2021-12-29 00:00:00,12.3
2021-12-29 01:00:00,12.7
2021-12-29 02:00:00,9.44
2021-12-29 03:00:00,7.65
2021-12-29 04:00:00,6.56
2021-12-29 05:00:00,4.66
2021-12-29 06:00:00,3.30
2021-12-29 07:00:00,2.71
2021-12-29 08:00:00,3.33
2021-12-29 09:00:00,4.69
2021-12-29 10:00:00,6.66
2021-12-29 11:00:00,7.35
2021-12-29 12:00:00,7.63
2021-12-29 13:00:00,10.7
2021-12-29 14:00:00,12.1
2021-12-29 15:00:00,13.1
2021-12-29 16:00:00,16.4
2021-12-29 17:00:00,18.2
2021-12-29 18:00:00,17.3
2021-12-29 19:00:00,17.3
2021-12-29 20:00:00,15.4
2021-12-29 21:00:00,18.2
2021-12-29 22:00:00,16.8
2021-12-29 23:00:00,14.2
2021-12-30 00:00:00,14.1
2021-12-30 01:00:00,14.1
2021-12-30 02:00:00,12.0
2021-12-30 03:00:00,8.60
2021-12-30 04:00:00,7.78
2021-12-30 05:00:00,6.75
2021-12-30 06:00:00,6.30
2021-12-30 07:00:00,5.90
2021-12-30 08:00:00,6.32
2021-12-30 09:00:00,9.02
2021-12-30 10:00:00,9.98
2021-12-30 11:00:00,10.2
2021-12-30 12:00:00,7.86
2021-12-30 13:00:00,7.19
2021-12-30 14:00:00,8.10
2021-12-30 15:00:00,7.99
2021-12-30 16:00:00,6.37
2021-12-30 17:00:00,6.79
2021-12-30 18:00:00,6.66
2021-12-30 19:00:00,7.27
2021-12-30 20:00:00,6.87
2021-12-30 21:00:00,6.81
2021-12-30 22:00:00,5.29
2021-12-30 23:00:00,4.29
2021-12-31 00:00:00,3.44
2021-12-31 01:00:00,2.61
2021-12-31 02:00:00,2.11
2021-12-31 03:00:00,1.30
2021-12-31 04:00:00,1.18
2021-12-31 05:00:00,1.11
2021-12-31 06:00:00,0.994
2021-12-31 07:00:00,0.993
2021-12-31 08:00:00,1.27
2021-12-31 09:00:00,1.66
2021-12-31 10:00:00,2.13
2021-12-31 11:00:00,2.44
2021-12-31 12:00:00,2.26
2021-12-31 13:00:00,2.74
2021-12-31 14:00:00,2.72
2021-12-31 15:00:00,3.62
2021-12-31 16:00:00,4.12
2021-12-31 17:00:00,5.09
2021-12-31 18:00:00,14.4
2021-12-31 19:00:00,21.9
2021-12-31 20:00:00,12.3
2021-12-31 21:00:00,16.5
2021-12-31 22:00:00,5.59
2021-12-31 23:00:00,0.906
2022-01-01 00:00:00,1.53
2022-01-01 01:00:00,1.16
2022-01-01 02:00:00,20.1
2022-01-01 03:00:00,19.8
2022-01-01 04:00:00,12.4
2022-01-01 05:00:00,7.46
2022-01-01 06:00:00,7.13
2022-01-01 07:00:00,7.81
2022-01-01 08:00:00,9.32
2022-01-01 09:00:00,7.42
2022-01-01 10:00:00,7.82
2022-01-01 11:00:00,9.65
2022-01-01 12:00:00,11.9
2022-01-01 13:00:00,13.8
2022-01-01 14:00:00,2.87
2022-01-01 15:00:00,1.89
2022-01-01 16:00:00,2.77
2022-01-01 17:00:00,9.40
2022-01-01 18:00:00,19.5
2022-01-01 19:00:00,8.76
2022-01-01 20:00:00,1.32
2022-01-01 21:00:00,1.94
2022-01-01 22:00:00,0.618
2022-01-01 23:00:00,0.852
2022-01-02 00:00:00,1.08
2022-01-02 01:00:00,0.528
2022-01-02 02:00:00,0.423
2022-01-02 03:00:00,0.450
2022-01-02 04:00:00,0.551
2022-01-02 05:00:00,0.489
2022-01-02 06:00:00,0.499
2022-01-02 07:00:00,0.507
2022-01-02 08:00:00,0.896
2022-01-02 09:00:00,1.68
2022-01-02 10:00:00,3.42
2022-01-02 11:00:00,5.78
2022-01-02 12:00:00,6.98
2022-01-02 13:00:00,9.38
2022-01-02 14:00:00,9.92
2022-01-02 15:00:00,12.5
2022-01-02 16:00:00,18.8
2022-01-02 17:00:00,15.5
2022-01-02 18:00:00,18.7
2022-01-02 19:00:00,12.7
2022-01-02 20:00:00,6.83
2022-01-02 21:00:00,4.48
2022-01-02 22:00:00,2.79
2022-01-02 23:00:00,1.82
2022-01-03 00:00:00,1.88
2022-01-03 01:00:00,1.52
2022-01-03 02:00:00,1.41
2022-01-03 03:00:00,2.03
2022-01-03 04:00:00,2.35
2022-01-03 05:00:00,2.66
2022-01-03 06:00:00,2.44
2022-01-03 07:00:00,2.89
2022-01-03 08:00:00,3.13
2022-01-03 09:00:00,4.43
2022-01-03 10:00:00,6.70
2022-01-03 11:00:00,6.56
2022-01-03 12:00:00,11.0
2022-01-03 13:00:00,6.95
2022-01-03 14:00:00,4.55
2022-01-03 15:00:00,3.76
2022-01-03 16:00:00,1.53
2022-01-03 17:00:00,0.843
2022-01-03 18:00:00,3.87
2022-01-03 19:00:00,8.29
2022-01-03 20:00:00,2.44
2022-01-03 21:00:00,2.49
2022-01-03 22:00:00,2.99
2022-01-03 23:00:00,1.64
2022-01-04 00:00:00,3.02
